Timestamp,Object ID,Classification,Tracking Counter,Confidence
2022-06-28 13:07:32.169337,48,car,16,0.63468343
2022-06-28 13:07:32.174337,48,car,16,0.6134616
2022-06-28 13:07:32.280064,48,car,16,0.68537736
2022-06-28 13:07:32.284068,48,person,31,0.6599507
2022-06-28 13:07:32.287068,48,car,16,0.6430405
2022-06-28 13:07:32.290071,48,car,16,0.6403918
2022-06-28 13:07:32.294071,48,person,31,0.6314519
2022-06-28 13:07:32.297140,48,person,31,0.6305712
2022-06-28 13:07:32.301132,48,motorbike,1,0.6118323
2022-06-28 13:07:32.304132,49,person,32,0.6088477
2022-06-28 13:07:32.308133,49,car,16,0.6003594
2022-06-28 13:07:32.403947,49,car,16,0.6920598
2022-06-28 13:07:32.406954,49,person,32,0.67891216
2022-06-28 13:07:32.409964,49,person,32,0.6510782
2022-06-28 13:07:32.413952,49,car,16,0.65060204
2022-06-28 13:07:32.416977,49,motorbike,1,0.6445587
2022-06-28 13:07:32.421083,49,car,16,0.63360655
2022-06-28 13:07:32.424082,49,person,32,0.6145817
2022-06-28 13:07:32.427084,49,car,16,0.6039441
2022-06-28 13:07:32.527040,49,car,16,0.6913319
2022-06-28 13:07:32.530041,49,person,32,0.6790719
2022-06-28 13:07:32.533042,49,motorbike,1,0.6552617
2022-06-28 13:07:32.537092,49,person,32,0.65045077
2022-06-28 13:07:32.541053,49,car,16,0.64931405
2022-06-28 13:07:32.544047,49,car,16,0.63115203
2022-06-28 13:07:32.547042,49,person,32,0.60867107
2022-06-28 13:07:32.550046,49,car,16,0.60361284
2022-06-28 13:07:32.658240,49,motorbike,1,0.693736
2022-06-28 13:07:32.662219,50,car,17,0.6874072
2022-06-28 13:07:32.665218,50,person,32,0.6801492
2022-06-28 13:07:32.668239,50,person,32,0.65631074
2022-06-28 13:07:32.673240,50,car,17,0.6383917
2022-06-28 13:07:32.678782,50,motorbike,1,0.63383526
2022-06-28 13:07:32.683783,50,car,17,0.63077754
2022-06-28 13:07:32.692811,50,car,17,0.6062366
2022-06-28 13:07:32.809871,50,car,17,0.70955026
2022-06-28 13:07:32.812871,50,car,17,0.6536119
2022-06-28 13:07:32.815872,50,person,32,0.63127995
2022-06-28 13:07:32.819873,51,person,33,0.6289923
2022-06-28 13:07:32.822874,51,person,33,0.61415744
2022-06-28 13:07:32.827902,51,motorbike,1,0.61191595
2022-06-28 13:07:32.933827,52,car,18,0.7113208
2022-06-28 13:07:32.936828,52,car,18,0.65360844
2022-06-28 13:07:32.939827,52,person,33,0.6303918
2022-06-28 13:07:32.943830,52,person,33,0.62839204
2022-06-28 13:07:32.948157,52,person,33,0.61267465
2022-06-28 13:07:32.952138,52,motorbike,1,0.60343516
2022-06-28 13:07:33.058218,53,car,19,0.71251535
2022-06-28 13:07:33.061232,53,person,33,0.6492121
2022-06-28 13:07:33.063221,53,car,19,0.63747823
2022-06-28 13:07:33.067252,53,person,33,0.628032
2022-06-28 13:07:33.070222,53,person,33,0.6097149
2022-06-28 13:07:33.172243,53,car,19,0.7136565
2022-06-28 13:07:33.175244,53,person,33,0.64050686
2022-06-28 13:07:33.177247,53,person,33,0.6313006
2022-06-28 13:07:33.180261,53,car,19,0.6238778
2022-06-28 13:07:33.183261,53,motorbike,1,0.60829616
2022-06-28 13:07:33.275616,54,car,20,0.70999664
2022-06-28 13:07:33.278033,54,person,33,0.6421603
2022-06-28 13:07:33.281027,54,motorbike,1,0.6415735
2022-06-28 13:07:33.284016,54,person,33,0.637945
2022-06-28 13:07:33.288015,54,car,20,0.61829215
2022-06-28 13:07:33.384234,54,car,20,0.7089016
2022-06-28 13:07:33.386238,54,person,33,0.643152
2022-06-28 13:07:33.389239,54,motorbike,1,0.64274263
2022-06-28 13:07:33.392241,54,person,33,0.6373792
2022-06-28 13:07:33.395241,54,car,20,0.6175663
2022-06-28 13:07:33.502582,54,car,20,0.7172993
2022-06-28 13:07:33.505606,54,person,33,0.6527422
2022-06-28 13:07:33.508175,55,person,34,0.628677
2022-06-28 13:07:33.511176,55,motorbike,1,0.618938
2022-06-28 13:07:33.515177,55,car,20,0.61226946
2022-06-28 13:07:33.518272,55,car,20,0.60476077
2022-06-28 13:07:33.628748,55,car,20,0.7162654
2022-06-28 13:07:33.630771,55,person,34,0.6498546
2022-06-28 13:07:33.633796,56,person,35,0.62223613
2022-06-28 13:07:33.635796,56,motorbike,1,0.6081694
2022-06-28 13:07:33.736490,57,car,21,0.7166077
2022-06-28 13:07:33.739674,57,person,35,0.65016687
2022-06-28 13:07:33.742675,58,person,36,0.62273777
2022-06-28 13:07:33.744667,58,motorbike,1,0.6087288
2022-06-28 13:07:33.847841,59,car,22,0.7048968
2022-06-28 13:07:33.850842,59,person,36,0.6253451
2022-06-28 13:07:33.853825,60,person,37,0.62482595
2022-06-28 13:07:33.857799,60,car,22,0.60571855
2022-06-28 13:07:33.959128,60,car,22,0.7041674
2022-06-28 13:07:33.962137,60,car,22,0.6429365
2022-06-28 13:07:33.966118,60,person,37,0.63365626
2022-06-28 13:07:33.969119,61,person,38,0.6333738
2022-06-28 13:07:33.972118,61,car,22,0.608593
2022-06-28 13:07:33.975120,61,car,22,0.6064626
2022-06-28 13:07:34.069251,61,car,22,0.69480366
2022-06-28 13:07:34.071264,61,car,22,0.6526538
2022-06-28 13:07:34.074264,61,person,38,0.63292634
2022-06-28 13:07:34.077273,61,car,22,0.6233069
2022-06-28 13:07:34.082273,61,car,22,0.6070357
2022-06-28 13:07:34.191580,61,car,22,0.69544
2022-06-28 13:07:34.194581,61,car,22,0.65628403
2022-06-28 13:07:34.198580,61,person,38,0.6346565
2022-06-28 13:07:34.201599,61,car,22,0.6327641
2022-06-28 13:07:34.204585,61,car,22,0.60622716
2022-06-28 13:07:34.305358,61,car,22,0.69159734
2022-06-28 13:07:34.307500,61,person,38,0.63753825
2022-06-28 13:07:34.309503,61,car,22,0.6354856
2022-06-28 13:07:34.409227,61,car,22,0.685941
2022-06-28 13:07:34.412229,61,car,22,0.64375955
2022-06-28 13:07:34.415229,61,person,38,0.6389814
2022-06-28 13:07:34.419212,61,car,22,0.6181201
2022-06-28 13:07:34.423211,61,person,38,0.60606164
2022-06-28 13:07:34.523881,61,car,22,0.6877945
2022-06-28 13:07:34.525894,61,car,22,0.6438006
2022-06-28 13:07:34.528804,61,person,38,0.63424474
2022-06-28 13:07:34.530803,61,car,22,0.6147139
2022-06-28 13:07:34.533804,61,person,38,0.60320973
2022-06-28 13:07:34.626466,61,car,22,0.65942305
2022-06-28 13:07:34.629466,61,person,38,0.6411936
2022-06-28 13:07:34.632467,61,car,22,0.6333073
2022-06-28 13:07:34.635468,61,car,22,0.63320506
2022-06-28 13:07:34.638212,61,car,22,0.6160386
2022-06-28 13:07:34.727291,61,car,22,0.6426766
2022-06-28 13:07:34.729295,61,person,38,0.64179754
2022-06-28 13:07:34.732298,61,car,22,0.6111844
2022-06-28 13:07:34.735299,61,car,22,0.60603255
2022-06-28 13:07:34.738297,61,car,22,0.60266155
2022-06-28 13:07:34.837110,61,car,22,0.6795688
2022-06-28 13:07:34.840083,61,person,38,0.6484463
2022-06-28 13:07:34.843083,61,car,22,0.6338088
2022-06-28 13:07:34.846085,61,car,22,0.6086962
2022-06-28 13:07:34.849087,61,car,22,0.60519236
2022-06-28 13:07:34.852098,61,car,22,0.60490227
2022-06-28 13:07:34.934302,61,car,22,0.67967385
2022-06-28 13:07:34.937386,61,person,38,0.6446357
2022-06-28 13:07:34.940381,61,car,22,0.6331761
2022-06-28 13:07:34.943369,61,car,22,0.6071611
2022-06-28 13:07:34.945863,61,car,22,0.60389245
2022-06-28 13:07:34.948854,61,car,22,0.60388917
2022-06-28 13:07:35.034311,61,car,22,0.6806672
2022-06-28 13:07:35.037592,61,person,38,0.6403712
2022-06-28 13:07:35.040579,61,car,22,0.6185485
2022-06-28 13:07:35.043580,61,car,22,0.6065827
2022-06-28 13:07:35.046572,61,car,22,0.6011811
2022-06-28 13:07:35.122122,61,car,22,0.70278615
2022-06-28 13:07:35.124124,61,person,38,0.649448
2022-06-28 13:07:35.220059,61,car,22,0.70514774
2022-06-28 13:07:35.222079,61,person,38,0.65172035
2022-06-28 13:07:35.292320,61,car,22,0.7031392
2022-06-28 13:07:35.295301,61,person,38,0.6521558
2022-06-28 13:07:35.372517,61,car,22,0.71382785
2022-06-28 13:07:35.376162,61,person,38,0.6491175
2022-06-28 13:07:35.378144,61,car,22,0.6113662
2022-06-28 13:07:35.449922,61,car,22,0.7201087
2022-06-28 13:07:35.451931,61,person,38,0.6382597
2022-06-28 13:07:35.453926,61,car,22,0.6070632
2022-06-28 13:07:35.455926,61,car,22,0.6027325
2022-06-28 13:07:35.527375,61,car,22,0.7196119
2022-06-28 13:07:35.529372,61,person,38,0.63965553
2022-06-28 13:07:35.531370,61,car,22,0.61040455
2022-06-28 13:07:35.533378,61,car,22,0.6065836
2022-06-28 13:07:35.601104,61,car,22,0.74498075
2022-06-28 13:07:35.603115,61,person,38,0.6391768
2022-06-28 13:07:35.605115,61,car,22,0.6151445
2022-06-28 13:07:35.607127,61,car,22,0.61476755
2022-06-28 13:07:35.677397,61,car,22,0.7383922
2022-06-28 13:07:35.679145,61,car,22,0.6276232
2022-06-28 13:07:35.682140,61,person,38,0.6260016
2022-06-28 13:07:35.684138,61,car,22,0.60777825
2022-06-28 13:07:35.754200,61,car,22,0.7360877
2022-06-28 13:07:35.757198,61,car,22,0.63460284
2022-06-28 13:07:35.759198,61,motorbike,1,0.6146927
2022-06-28 13:07:35.762201,61,car,22,0.6103371
2022-06-28 13:07:35.764202,61,person,38,0.60687494
2022-06-28 13:07:35.832257,61,car,22,0.7355439
2022-06-28 13:07:35.835260,61,car,22,0.6356359
2022-06-28 13:07:35.837271,61,car,22,0.6145365
2022-06-28 13:07:35.840277,61,motorbike,1,0.6128302
2022-06-28 13:07:35.843270,62,person,39,0.60472757
2022-06-28 13:07:35.917462,62,car,22,0.71488285
2022-06-28 13:07:35.920457,62,car,22,0.62002295
2022-06-28 13:07:35.922460,62,motorbike,1,0.6014114
2022-06-28 13:07:35.993750,63,car,23,0.70654035
2022-06-28 13:07:35.994749,63,motorbike,1,0.67543614
2022-06-28 13:07:35.996861,64,person,40,0.6096654
2022-06-28 13:07:36.065087,65,car,24,0.7057882
2022-06-28 13:07:36.067082,65,motorbike,1,0.67455834
2022-06-28 13:07:36.069081,66,person,41,0.6050042
2022-06-28 13:07:36.145235,67,car,25,0.73267055
2022-06-28 13:07:36.147109,67,car,25,0.6239832
2022-06-28 13:07:36.149110,67,car,25,0.62079555
2022-06-28 13:07:36.224388,67,car,25,0.7222031
2022-06-28 13:07:36.227018,67,motorbike,1,0.68987554
2022-06-28 13:07:36.230016,68,person,42,0.61819416
2022-06-28 13:07:36.234014,68,car,25,0.6013291
2022-06-28 13:07:36.309414,68,car,25,0.74339736
2022-06-28 13:07:36.312414,68,motorbike,1,0.64626306
2022-06-28 13:07:36.314409,69,person,43,0.6092199
2022-06-28 13:07:36.317383,69,car,25,0.6036945
2022-06-28 13:07:36.395115,69,car,25,0.7431644
2022-06-28 13:07:36.398094,69,motorbike,1,0.64427185
2022-06-28 13:07:36.402095,70,person,44,0.615987
2022-06-28 13:07:36.405097,70,car,25,0.6036511
2022-06-28 13:07:36.407112,71,person,45,0.6031715
2022-06-28 13:07:36.467326,72,car,26,0.7342617
2022-06-28 13:07:36.470310,72,motorbike,1,0.64270335
2022-06-28 13:07:36.472312,72,car,26,0.6188324
2022-06-28 13:07:36.474315,72,person,45,0.6084995
2022-06-28 13:07:36.477602,72,person,45,0.60219765
2022-06-28 13:07:36.564040,73,car,27,0.7208222
2022-06-28 13:07:36.566051,73,motorbike,1,0.638814
2022-06-28 13:07:36.569045,73,car,27,0.62344867
2022-06-28 13:07:36.571046,73,person,45,0.60901254
2022-06-28 13:07:36.648056,73,car,27,0.72008765
2022-06-28 13:07:36.650059,73,motorbike,1,0.63073575
2022-06-28 13:07:36.652052,73,car,27,0.62813836
2022-06-28 13:07:36.655060,73,car,27,0.6064713
2022-06-28 13:07:36.658053,74,person,46,0.60596883
2022-06-28 13:07:36.736302,74,car,27,0.7313119
2022-06-28 13:07:36.739284,74,car,27,0.64328337
2022-06-28 13:07:36.743289,74,motorbike,1,0.6126552
2022-06-28 13:07:36.818196,75,car,28,0.7248504
2022-06-28 13:07:36.821196,75,car,28,0.6592971
2022-06-28 13:07:36.823188,75,motorbike,1,0.63654405
2022-06-28 13:07:36.825198,75,car,28,0.60973096
2022-06-28 13:07:36.903851,75,car,28,0.731394
2022-06-28 13:07:36.906424,75,car,28,0.68260366
2022-06-28 13:07:36.908408,75,person,46,0.6059998
2022-06-28 13:07:36.911411,75,car,28,0.6052165
2022-06-28 13:07:36.913417,75,motorbike,1,0.60435736
2022-06-28 13:07:36.996522,76,car,29,0.73128957
2022-06-28 13:07:36.999517,76,car,29,0.68458927
2022-06-28 13:07:37.001513,76,person,46,0.6063791
2022-06-28 13:07:37.004505,76,car,29,0.6042878
2022-06-28 13:07:37.007558,76,motorbike,1,0.60185397
2022-06-28 13:07:37.090782,77,car,30,0.72693133
2022-06-28 13:07:37.092788,77,car,30,0.68994945
2022-06-28 13:07:37.095797,77,car,30,0.6479207
2022-06-28 13:07:37.099893,77,car,30,0.6425531
2022-06-28 13:07:37.101895,77,person,46,0.6195457
2022-06-28 13:07:37.104896,77,car,30,0.6123863
2022-06-28 13:07:37.217868,77,car,30,0.73617345
2022-06-28 13:07:37.220880,77,car,30,0.6864127
2022-06-28 13:07:37.222873,77,car,30,0.6528114
2022-06-28 13:07:37.224877,77,car,30,0.6511844
2022-06-28 13:07:37.226882,77,car,30,0.61320734
2022-06-28 13:07:37.229878,77,person,46,0.61085045
2022-06-28 13:07:37.318677,77,car,30,0.7381565
2022-06-28 13:07:37.321684,77,car,30,0.6872049
2022-06-28 13:07:37.323676,77,car,30,0.6527118
2022-06-28 13:07:37.326857,77,car,30,0.6525855
